"place","population","pct_under_18","pct_between_18_64","pct_over_64","male_female_ratio","male","female"
"Rocklin city",19033.0,28.4,62.4,9.2,93.9,8355.0,10678.0
"Brawley city",18923.0,35.8,55.3,8.9,90.8,7721.0,11202.0
"Valinda CDP",18735.0,33.3,60.6,6.1,99.5,9274.0,9461.0
"Calexico city",18633.0,37.5,54.2,8.4,83.2,6186.0,12447.0
"El Paso de Robles (Paso Robles) city",18583.0,29.3,56.6,14.1,93.6,8102.0,10481.0
"Oakley CDP",18374.0,33.1,61.1,5.8,100.6,9297.0,9077.0
"Lake Elsinore city",18285.0,33.6,58.0,8.5,102.2,9545.0,8740.0
"Hermosa Beach city",18219.0,10.4,83.8,5.8,122.0,13118.0,5101.0
"Stanford CDP",18097.0,7.6,88.6,3.8,144.8,17156.0,941.0
"South San Jose Hills CDP",17814.0,34.9,60.0,5.1,101.5,9174.0,8640.0
"East Hemet CDP",17611.0,30.0,54.3,15.6,89.5,6956.0,10655.0
"Elk Grove CDP",17483.0,32.5,60.0,7.5,90.5,7081.0,10402.0
"Pinole city",17460.0,25.1,65.1,9.8,91.6,7263.0,10197.0
"West Pittsburg CDP",17453.0,31.2,61.0,7.8,97.7,8325.0,9128.0
"Loma Linda city",17400.0,23.8,62.3,13.9,85.7,6212.0,11188.0
"Foothill Farms CDP",17135.0,27.5,65.6,6.9,89.4,6751.0,10384.0
"La Crescenta-Montrose CDP",16968.0,23.5,65.3,11.3,92.3,7177.0,9791.0
"Coachella city",16896.0,40.4,54.7,4.9,103.6,9056.0,7840.0
"Sanger city",16839.0,34.2,55.4,10.4,93.8,7375.0,9464.0
"Hercules city",16829.0,30.1,65.5,4.5,91.8,7035.0,9794.0
"Orinda city",16642.0,22.2,61.6,16.3,93.7,7273.0,9369.0
"Ashland CDP",16590.0,23.4,64.0,12.6,90.3,6686.0,9904.0
"Albany city",16327.0,21.6,65.4,13.0,83.2,5421.0,10906.0
"San Jacinto city",16210.0,28.4,49.9,21.7,89.6,6419.0,9791.0
"Pacific Grove city",16117.0,17.6,63.3,19.0,81.8,5125.0,10992.0
"Moraga Town city",15852.0,21.2,66.9,11.9,90.2,6373.0,9479.0
"Reedley city",15791.0,31.5,56.8,11.8,106.4,8906.0,6885.0
"Mira Loma CDP",15786.0,33.7,61.1,5.1,103.4,8430.0,7356.0
"Santa Fe Springs city",15520.0,28.8,59.6,11.6,90.7,6317.0,9203.0
"Artesia city",15464.0,28.0,60.8,11.2,97.6,7361.0,8103.0
"La Palma city",15392.0,25.1,69.5,5.4,98.1,7404.0,7988.0
"El Segundo city",15223.0,18.8,71.6,9.6,98.5,7383.0,7840.0
"Live Oak CDP",15212.0,23.7,62.1,14.2,86.7,5583.0,9629.0
"Arcata city",15197.0,17.7,72.8,9.5,101.1,7766.0,7431.0
"Bloomington CDP",15116.0,33.8,58.1,8.1,98.2,7286.0,7830.0
"Sun City CDP",14930.0,11.0,32.8,56.2,77.5,4106.0,10824.0
"East Foothills CDP",14898.0,25.7,61.9,12.4,97.5,7077.0,7821.0
"Selma city",14757.0,33.2,55.1,11.8,91.9,6183.0,8574.0
"Walnut Park CDP",14722.0,32.6,61.0,6.4,100.4,7420.0,7302.0
"Ukiah city",14599.0,27.7,57.0,15.2,85.3,5153.0,9446.0
"Los Banos city",14519.0,31.9,55.4,12.7,92.9,6229.0,8290.0
"Arroyo Grande city",14378.0,23.4,56.7,19.9,87.8,5435.0,8943.0
"Baywood-Los Osos CDP",14377.0,23.4,59.4,17.2,92.5,6110.0,8267.0
"Avocado Heights CDP",14232.0,30.7,62.2,7.1,101.4,7315.0,6917.0
"North Fair Oaks CDP",13912.0,30.2,63.3,6.4,116.3,9224.0,4688.0
"Carpinteria city",13747.0,23.8,63.7,12.5,101.0,7011.0,6736.0
"Vincent CDP",13713.0,32.2,61.2,6.5,98.9,6706.0,7007.0
"Yucca Valley CDP",13701.0,23.4,49.3,27.3,80.7,4206.0,9495.0
"Bostonia CDP",13670.0,26.4,61.6,12.0,89.9,5454.0,8216.0
"Hawaiian Gardens city",13639.0,35.5,59.5,5.0,108.6,7992.0,5647.0
"Lemoore city",13622.0,32.9,60.6,6.5,94.5,6062.0,7560.0
"Palos Verdes Estates city",13512.0,21.1,64.6,14.4,94.3,5986.0,7526.0
"Windsor CDP",13371.0,27.2,60.1,12.7,96.4,6204.0,7167.0
"Corcoran city",13364.0,23.2,71.9,4.8,286.0,31539.0,-18175.0
"Ramona CDP",13040.0,32.5,59.7,7.7,100.1,6533.0,6507.0
"Mill Valley city",13038.0,17.5,68.2,14.3,81.2,4068.0,8970.0
"Linda CDP",13033.0,38.5,53.1,8.3,92.5,5539.0,7494.0
"Solana Beach city",12962.0,16.8,69.0,14.2,99.5,6416.0,6546.0
"San Marino city",12959.0,25.5,59.0,15.5,89.2,5080.0,7879.0
"Dinuba city",12743.0,33.4,54.7,11.9,100.9,6486.0,6257.0
"East San Gabriel CDP",12736.0,21.2,64.9,13.9,92.0,5349.0,7387.0
"Glen Avon CDP",12663.0,28.7,56.9,14.4,94.1,5584.0,7079.0
"Bonita CDP",12542.0,25.7,64.3,10.0,95.3,5682.0,6860.0
"Wasco city",12412.0,38.3,53.8,7.9,97.5,5896.0,6516.0
"Red Bluff city",12363.0,28.4,55.2,16.3,84.8,4302.0,8061.0
