Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,"Principal rescheduled, private (current US$)",DT.AXR.PRVT.CD,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Technical cooperation grants (current US$),BX.GRT.TECH.CD.DT,843810000,526320000,710960000,957300000,893130000,849840000,896900000,823980000,655640000,467490000
Afghanistan,AFG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,0,0,0.539163684876933,0.484244764037519,0.381203221593439,0.324410140803636,0.601426330681703,1.58071586099444,1.93169389482451,2.87177359327692
Afghanistan,AFG,Total reserves in months of imports,FI.RES.TOTL.MO,0,0,12.3288634006314,9.79772188325846,8.26319767034285,8.38159853495222,7.12766464592007,7.45409424103737,9.33021692540197,8.56436089275235
Afghanistan,AFG,"Undisbursed external debt, total (UND, current US$)",DT.UND.DPPG.CD,626154516.5,542263051,494573605.9,388369302.6,294888665,230446709.4,171739833,111299443.2,98091568.2,65546215.3
Albania,ALB,"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT,8.7551,5.2945,8.2682,5.7891,4.0671,3.1056,5.8008,5.1788,7.4607,7.091
Albania,ALB,"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT,51.8589,37.3893,63.904,45.9066,37.1298,50.4277,54.9019,50.4447,64.0985,64.3083
Albania,ALB,"Average interest on new external debt commitments, official (%)",DT.INR.OFFT,2.9203,4.3377,1.8461,2.9784,3.7014,1.3799,1.7781,2.1502,1.162,1.0683
Albania,ALB,"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,23.6,20.6594,28.2665,19.2988,16.6015,17.2991,21.3526,18.3186,22.0211,21.5674
Albania,ALB,"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD,40090000,30000000,61460000,0,0,0,0,0,0,0
Albania,ALB,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,311201098.6,279757208.4,693406438,544158348.8,633264946.2,525579720.1,191835168.1,245354880.7,551729265.5,654310448.5
Albania,ALB,"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS,0,0,0,0,0,0,0,0,0,0
Albania,ALB,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,3.41,2.9718,2.7426,2.0301,2.0286,1.9558,1.591,1.1815,1.519,1.8092
Albania,ALB,"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS,2.586,2.9371,2.8749,3.0385,3.0216,3.2708,3.3214,3.2644,3.2586,3.0463
Albania,ALB,Current account balance (current US$),BN.CAB.XOKA.CD,-670904254.719467,-1150813004.28052,-2013665399.76013,-1850934765.94559,-1355917493.19867,-1666273225.93063,-1257077185.10826,-1184919895.78413,-1424979131.76171,-979521060.483816
Albania,ALB,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-1877194.4,0,-190464.7,-305411.5,0,0,0,-1232000,0,0
Albania,ALB,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,81937197.1,86484404.7,101486162.3,151320949,240461873,295872943.7,290305289.6,198316131.4,257077638.8,601486189.6
Albania,ALB,Debt stock rescheduled (current US$),DT.DXR.DPPG.CD,0,0,7574000,0,0,0,0,0,0,0
Albania,ALB,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,12301000,126558000,220315000,166812000,188789000,355828000,347046000,490829000,191169000,364998000
Albania,ALB,"Exports of goods, services and primary income (current US$)",BX.GSR.TOTL.CD,2201687890.04002,2846824201.34943,3754603608.73512,3436040342.80569,3703718215.91253,4075269330.80935,3798992365.43081,4071237649.32516,4176959142.97293,3518263850.61902
Albania,ALB,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,1334480865.9,1477293412.1,1539215517.3,1712578476.1,1758346407.3,1822073506.9,1979457581.1,2099229979,2002522736.4,1914242430.7
Albania,ALB,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,1577810658.9,1788733352.2,2298122467.6,2879114740.3,3214822509.5,3369593886.2,3552520920.9,3759284182.4,3653789405.9,3520427541.3
Albania,ALB,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,386475000,510666758.6,1149654325.7,680539000,743172000,1091790000,1469894000,2003193000,1875191000,1792800000
Albania,ALB,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)",BX.KLT.DINV.CD.DT,75685994.5025186,460335603.722803,893467667.485863,1038569663.20213,1052264449.41823,812221306.538571,712921001.931513,845656668.292675,932487008.108155,877076447.511245
Albania,ALB,IDA grants (current US$),DT.DIS.IDAG.CD,0,0,0,0,0,0,0,0,0,0
Albania,ALB,"IMF purchases (DIS, current US$)",DT.DIS.DIMF.CD,7165754.6,7455447.8,7698279.4,3757487.4,0,0,0,0,71560760.2,106305494.3
Albania,ALB,"Imports of goods, services and primary income (current US$)",BM.GSR.TOTL.CD,4142215603.40901,5429247205.62995,7146432448.79718,6593101976.64851,6280395412.05476,7003210842.68381,6187628227.72863,6159697373.79224,6560911667.21725,5349666448.57525
Albania,ALB,"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD,1226000,1226000,0,0,0,0,0,0,0,0
Albania,ALB,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,0.634181930845394,0.660385020111714,0.720912919498832,0.907631426318532,0.99365777204312,1.28693424610819,1.46825924075433,1.49568465029152,1.3949171379116,0.710674618678648
Albania,ALB,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",DT.INT.DPPG.CD,24768465.8,31050897.5,43962168.9,71445715.1,66229285.2,105487136.1,100489841.7,72247316.7,79189559.9,70290521.1
Albania,ALB,Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Multilateral debt (% of total external debt),DT.DOD.MLAT.ZS,41.0634,40.6406,30.5313,31.9886,28.3071,26.3332,26.0884,22.7172,24.7497,23.0877
Albania,ALB,"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,23065142.9,7226696.9,16437904.8,26820269,8701984.8,2080941.3,19195322.9,12956804.9,31492562.5,31690951
Albania,ALB,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,-7595405.5,-10674915.4,-11357728.5,-12134709.7,-12123533.9,-11247090.8,-8873664.9,-8384138.7,-6659252.9,-4064457.2
Albania,ALB,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,36670301.3,47959736.1,85759589.2,90486778,82413813.4,106350188.8,142599262.9,120082003,2649391.9,-47341784
Albania,ALB,"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD,70263000,203917000,776450000,603694000,569931000,472248000,332556000,403283000,98966000,35700000
Albania,ALB,"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD,231437000,124145000,640114000,-468969000,62633000,348618000,378104000,533299000,-128002000,-82391000
Albania,ALB,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,-54190000,81904000,163374000,100647000,69984000,185720000,109544000,148860000,-257342000,-110278000
Albania,ALB,"Personal transfers and compensation of employees, received (current US$)",BX.TRF.PWKR.CD.DT,1359467324.66364,1468020000,1865574187.98517,1716130304.11596,1586925580.48814,1551123785.68566,1420282798.149,1281914066.36452,1420535452.78401,1290350891.31656
Albania,ALB,"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD,0,0,0,0,0,19492000,19492000,19492000,15112000,10926000
Albania,ALB,"PNG, bonds (NTR, current US$)",DT.NTR.PNGB.CD,0,0,0,0,0,19492000,0,0,-5720000,-4930000
Albania,ALB,"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD,12301000,126558000,220315000,166812000,188789000,336336000,347046000,490829000,183101000,364998000
Albania,ALB,"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,-40740000,94807000,183926000,124812000,112931000,224736000,186629000,269159000,-148060000,-97386000
Albania,ALB,"Portfolio investment, equity (DRS, current US$)",BX.PEF.TOTL.CD.DT,0,0,23317867.8128936,-4129968.8333453,6867345.8016128,23334310.5699155,17994660.4067645,1699895.63395006,33938957.1058331,8983577.93372661
